"","year","numbers","Proportion"
"512","year2005","27",0.0277777777777778
"513","year2006","27",0.0246913580246914
"514","year1988","28",0.0185185185185185
"515","year1989","28",0.0216049382716049
"516","year1990","28",0.0216049382716049
"517","year1991","28",0.0216049382716049
"518","year1992","28",0.0277777777777778
"519","year1993","28",0.0339506172839506
"520","year1994","28",0.0246913580246914
"521","year1995","28",0.0308641975308642
"522","year1996","28",0.0246913580246914
"523","year1997","28",0.00925925925925926
"524","year1998","28",0.0123456790123457
"525","year1999","28",0.0308641975308642
"526","year2000","28",0.0216049382716049
"527","year2001","28",0.0154320987654321
"528","year2002","28",0.0216049382716049
"529","year2003","28",0.0308641975308642
"530","year2004","28",0.0154320987654321
"531","year2005","28",0.0246913580246914
"532","year2006","28",0.0277777777777778
"533","year1988","29",0.0339506172839506
"534","year1989","29",0.0308641975308642
"535","year1990","29",0.0246913580246914
"536","year1991","29",0.0308641975308642
"537","year1992","29",0.0216049382716049
"538","year1993","29",0.0154320987654321
"539","year1994","29",0.00925925925925926
"540","year1995","29",0.0246913580246914
"541","year1996","29",0.0308641975308642
"542","year1997","29",0.0123456790123457
"543","year1998","29",0.0246913580246914
"544","year1999","29",0.0154320987654321
"545","year2000","29",0.0308641975308642
"546","year2001","29",0.0277777777777778
"547","year2002","29",0.0277777777777778
"548","year2003","29",0.0185185185185185
"549","year2004","29",0.0185185185185185
"550","year2005","29",0.0277777777777778
"551","year2006","29",0.0246913580246914
"552","year1988","30",0.0308641975308642
"553","year1989","30",0.0246913580246914
"554","year1990","30",0.0154320987654321
"555","year1991","30",0.0401234567901235
"556","year1992","30",0.0123456790123457
"557","year1993","30",0.0216049382716049
"558","year1994","30",0.037037037037037
"559","year1995","30",0.0308641975308642
"560","year1996","30",0.0216049382716049
"561","year1997","30",0.0339506172839506
"562","year1998","30",0.0154320987654321
"563","year1999","30",0.0154320987654321
"564","year2000","30",0.0154320987654321
"565","year2001","30",0.0339506172839506
"566","year2002","30",0.0154320987654321
"567","year2003","30",0.0308641975308642
"568","year2004","30",0.0277777777777778
"569","year2005","30",0.0154320987654321
"570","year2006","30",0.0277777777777778
"571","year1988","31",0.0246913580246914
"572","year1989","31",0.0216049382716049
"573","year1990","31",0.0154320987654321
"574","year1991","31",0.0154320987654321
"575","year1992","31",0.0123456790123457
"576","year1993","31",0.037037037037037
"577","year1994","31",0.0216049382716049
"578","year1995","31",0.0308641975308642
"579","year1996","31",0.0154320987654321
"580","year1997","31",0.0401234567901235
"581","year1998","31",0.0246913580246914
"582","year1999","31",0.0185185185185185
"583","year2000","31",0.0308641975308642
"584","year2001","31",0.0185185185185185
"585","year2002","31",0.0246913580246914
"586","year2003","31",0.0185185185185185
"587","year2004","31",0.0339506172839506
"588","year2005","31",0.037037037037037
"589","year2006","31",0.0185185185185185
"590","year1988","32",0.0216049382716049
"591","year1989","32",0.0154320987654321
"592","year1990","32",0.0246913580246914
"593","year1991","32",0.0246913580246914
"594","year1992","32",0.0216049382716049
"595","year1993","32",0.0216049382716049
"596","year1994","32",0.0308641975308642
"597","year1995","32",0.0123456790123457
"598","year1996","32",0.0154320987654321
"599","year1997","32",0.037037037037037
"600","year1998","32",0.0185185185185185
"601","year1999","32",0.0216049382716049
"602","year2000","32",0.0216049382716049
"603","year2001","32",0.0185185185185185
"604","year2002","32",0.0216049382716049
"605","year2003","32",0.0216049382716049
"606","year2004","32",0.0308641975308642
"607","year2005","32",0.0308641975308642
"608","year2006","32",0.0308641975308642
"609","year1988","33",0.0154320987654321
"610","year1989","33",0.037037037037037
"611","year1990","33",0.0277777777777778
"612","year1991","33",0.0154320987654321
"613","year1992","33",0.0216049382716049
"614","year1993","33",0.0277777777777778
"615","year1994","33",0.0277777777777778
"616","year1995","33",0.0308641975308642
"617","year1996","33",0.0277777777777778
"618","year1997","33",0.0339506172839506
"619","year1998","33",0.0308641975308642
"620","year1999","33",0.0308641975308642
"621","year2000","33",0.0308641975308642
"622","year2001","33",0.0154320987654321
"623","year2002","33",0.0216049382716049
"624","year2003","33",0.0216049382716049
"625","year2004","33",0.0432098765432099
"626","year2005","33",0.0246913580246914
"627","year2006","33",0.0123456790123457
"628","year1988","34",0.037037037037037
"629","year1989","34",0.0216049382716049
"630","year1990","34",0.00617283950617284
"631","year1991","34",0.0339506172839506
"632","year1992","34",0.0246913580246914
"633","year1993","34",0.037037037037037
"634","year1994","34",0.0277777777777778
"635","year1995","34",0.0154320987654321
"636","year1996","34",0.0277777777777778
"637","year1997","34",0.0308641975308642
"638","year1998","34",0.0401234567901235
"639","year1999","34",0.0216049382716049
"640","year2000","34",0.0154320987654321
"641","year2001","34",0.0216049382716049
"642","year2002","34",0.00925925925925926
"643","year2003","34",0.00925925925925926
"644","year2004","34",0.0246913580246914
"645","year2005","34",0.0246913580246914
"646","year2006","34",0.0123456790123457
"647","year1988","35",0.0185185185185185
"648","year1989","35",0.0339506172839506
"649","year1990","35",0.0493827160493827
"650","year1991","35",0.00617283950617284
"651","year1992","35",0.0308641975308642
"652","year1993","35",0.0216049382716049
"653","year1994","35",0.0308641975308642
"654","year1995","35",0.0185185185185185
"655","year1996","35",0.00617283950617284
"656","year1997","35",0.0246913580246914
"657","year1998","35",0.0154320987654321
"658","year1999","35",0.0216049382716049
"659","year2000","35",0.0216049382716049
"660","year2001","35",0.0216049382716049
"661","year2002","35",0.0339506172839506
"662","year2003","35",0.0493827160493827
"663","year2004","35",0.0277777777777778
"664","year2005","35",0.0246913580246914
"665","year2006","35",0.0154320987654321
"666","year1988","36",0.0246913580246914
"667","year1989","36",0.0246913580246914
"668","year1990","36",0.0185185185185185
"669","year1991","36",0.0277777777777778
"670","year1992","36",0.0216049382716049
"671","year1993","36",0.037037037037037
"672","year1994","36",0.0185185185185185
"673","year1995","36",0.0154320987654321
"674","year1996","36",0.0185185185185185
"675","year1997","36",0.0154320987654321
"676","year1998","36",0.0216049382716049
"677","year1999","36",0.0246913580246914
"678","year2000","36",0.0277777777777778
"679","year2001","36",0.037037037037037
"680","year2002","36",0.0246913580246914
"681","year2003","36",0.0308641975308642
"682","year2004","36",0.0246913580246914
"683","year2005","36",0.0339506172839506
"684","year2006","36",0.0123456790123457
"685","year1988","37",0.0277777777777778
"686","year1989","37",0.0246913580246914
"687","year1990","37",0.0308641975308642
"688","year1991","37",0.0246913580246914
"689","year1992","37",0.0308641975308642
"690","year1993","37",0.0154320987654321
"691","year1994","37",0.0246913580246914
"692","year1995","37",0.0246913580246914
"693","year1996","37",0.0123456790123457
"694","year1997","37",0.0123456790123457
"695","year1998","37",0.0216049382716049
"696","year1999","37",0.0277777777777778
"697","year2000","37",0.0154320987654321
"698","year2001","37",0.0216049382716049
"699","year2002","37",0.0216049382716049
"700","year2003","37",0.0154320987654321
"701","year2004","37",0.00925925925925926
"702","year2005","37",0.0308641975308642
"703","year2006","37",0.0277777777777778
"704","year1988","38",0.0277777777777778
"705","year1989","38",0.0277777777777778
"706","year1990","38",0.0185185185185185
"707","year1991","38",0.0277777777777778
"708","year1992","38",0.0524691358024691
"709","year1993","38",0.0216049382716049
"710","year1994","38",0.037037037037037
"711","year1995","38",0.0246913580246914
"712","year1996","38",0.0123456790123457
"713","year1997","38",0.0277777777777778
"714","year1998","38",0.0123456790123457
"715","year1999","38",0.0432098765432099
"716","year2000","38",0.0339506172839506
"717","year2001","38",0.0185185185185185
"718","year2002","38",0.0216049382716049
"719","year2003","38",0.0246913580246914
"720","year2004","38",0.0246913580246914
"721","year2005","38",0.0185185185185185
"722","year2006","38",0.0246913580246914
"723","year1988","39",0.037037037037037
"724","year1989","39",0.0246913580246914
"725","year1990","39",0.0123456790123457
"726","year1991","39",0.0308641975308642
"727","year1992","39",0.0216049382716049
"728","year1993","39",0.0216049382716049
"729","year1994","39",0.037037037037037
"730","year1995","39",0.0216049382716049
"731","year1996","39",0.0216049382716049
"732","year1997","39",0.0277777777777778
"733","year1998","39",0.0246913580246914
"734","year1999","39",0.0308641975308642
"735","year2000","39",0.0246913580246914
"736","year2001","39",0.0432098765432099
"737","year2002","39",0.0185185185185185
"738","year2003","39",0.0246913580246914
"739","year2004","39",0.0339506172839506
"740","year2005","39",0.0246913580246914
"741","year2006","39",0.0277777777777778
"742","year1988","40",0.0277777777777778
"743","year1989","40",0.0185185185185185
"744","year1990","40",0.0308641975308642
"745","year1991","40",0.0246913580246914
"746","year1992","40",0.0246913580246914
"747","year1993","40",0.0216049382716049
"748","year1994","40",0.0308641975308642
"749","year1995","40",0.0216049382716049
"750","year1996","40",0.0216049382716049
"751","year1997","40",0.0216049382716049
"752","year1998","40",0.0216049382716049
"753","year1999","40",0.0154320987654321
"754","year2000","40",0.0308641975308642
"755","year2001","40",0.0154320987654321
"756","year2002","40",0.0339506172839506
"757","year2003","40",0.0154320987654321
"758","year2004","40",0.0185185185185185
"759","year2005","40",0.0216049382716049
"760","year2006","40",0.0216049382716049
