"","year","numbers"
"1252","year1991","34"
"1253","year1991","22"
"1254","year1991","18"
"1255","year1991","11"
"1256","year1991","16"
"1257","year1991","8"
"1258","year1991","26"
"1259","year1991","15"
"1260","year1991","21"
"1261","year1991","30"
"1262","year1991","39"
"1263","year1991","40"
"1264","year1991","15"
"1265","year1991","23"
"1266","year1991","37"
"1267","year1991","30"
"1268","year1991","24"
"1269","year1991","15"
"1270","year1991","19"
"1271","year1991","3"
"1272","year1991","14"
"1273","year1991","16"
"1274","year1991","12"
"1275","year1991","13"
"1276","year1991","28"
"1277","year1991","24"
"1278","year1991","22"
"1279","year1991","9"
"1280","year1991","13"
"1281","year1991","24"
"1282","year1991","4"
"1283","year1991","31"
"1284","year1991","11"
"1285","year1991","25"
"1286","year1991","5"
"1287","year1991","1"
"1288","year1991","13"
"1289","year1991","21"
"1290","year1991","10"
"1291","year1991","10"
"1292","year1991","5"
"1293","year1991","1"
"1294","year1991","16"
"1295","year1991","40"
"1296","year1991","38"
"1297","year1992","10"
"1298","year1992","29"
"1299","year1992","19"
"1300","year1992","24"
"1301","year1992","16"
"1302","year1992","33"
"1303","year1992","35"
"1304","year1992","17"
"1305","year1992","3"
"1306","year1992","34"
"1307","year1992","38"
"1308","year1992","29"
"1309","year1992","3"
"1310","year1992","25"
"1311","year1992","6"
"1312","year1992","16"
"1313","year1992","38"
"1314","year1992","5"
"1315","year1992","38"
"1316","year1992","4"
"1317","year1992","35"
"1318","year1992","23"
"1319","year1992","16"
"1320","year1992","14"
"1321","year1992","15"
"1322","year1992","6"
"1323","year1992","14"
"1324","year1992","11"
"1325","year1992","27"
"1326","year1992","36"
"1327","year1992","7"
"1328","year1992","33"
"1329","year1992","19"
"1330","year1992","38"
"1331","year1992","34"
"1332","year1992","37"
"1333","year1992","5"
"1334","year1992","22"
"1335","year1992","25"
"1336","year1992","3"
"1337","year1992","1"
"1338","year1992","37"
"1339","year1992","1"
"1340","year1992","22"
"1341","year1992","33"
"1342","year1992","2"
"1343","year1992","25"
"1344","year1992","18"
"1345","year1992","24"
"1346","year1992","22"
"1347","year1992","3"
"1348","year1992","13"
"1349","year1992","7"
"1350","year1992","38"
"1351","year1992","6"
"1352","year1992","17"
"1353","year1992","24"
"1354","year1992","1"
"1355","year1992","5"
"1356","year1992","10"
"1357","year1992","13"
"1358","year1992","28"
"1359","year1992","23"
